ItemID,Sentiment,SentimentSource
210,1,Sentiment140
211,1,Sentiment140
212,1,Sentiment140
213,0,Sentiment140
214,0,Sentiment140
215,1,Sentiment140
216,1,Sentiment140
217,0,Sentiment140
218,1,Sentiment140
219,1,Sentiment140
220,0,Sentiment140
221,0,Sentiment140
222,1,Sentiment140
223,0,Sentiment140
224,0,Sentiment140
225,0,Sentiment140
226,1,Sentiment140
227,1,Sentiment140
228,1,Sentiment140
229,1,Sentiment140
230,1,Sentiment140
231,1,Sentiment140
232,1,Sentiment140
233,1,Sentiment140
234,0,Sentiment140
235,0,Sentiment140
236,1,Sentiment140
237,1,Sentiment140
238,1,Sentiment140
239,0,Sentiment140
240,0,Sentiment140
241,0,Sentiment140
242,0,Sentiment140
243,0,Sentiment140
244,0,Sentiment140
245,0,Sentiment140
246,0,Sentiment140
247,0,Sentiment140
248,1,Sentiment140
249,0,Sentiment140
250,0,Sentiment140
251,0,Sentiment140
252,0,Sentiment140
253,0,Sentiment140
254,0,Sentiment140
255,0,Sentiment140
256,0,Sentiment140
257,1,Sentiment140
258,0,Sentiment140
259,1,Sentiment140
260,0,Sentiment140
261,1,Sentiment140
262,0,Sentiment140
263,0,Sentiment140
264,0,Sentiment140
265,0,Sentiment140
266,0,Sentiment140
267,0,Sentiment140
268,0,Sentiment140
269,0,Sentiment140
270,1,Sentiment140
271,1,Sentiment140
272,1,Sentiment140
273,0,Sentiment140
274,0,Sentiment140
275,0,Sentiment140
276,1,Sentiment140
277,0,Sentiment140
278,1,Sentiment140
279,0,Sentiment140
280,1,Sentiment140
281,1,Sentiment140
282,0,Sentiment140
283,0,Sentiment140
284,0,Sentiment140
285,0,Sentiment140
286,0,Sentiment140
287,1,Sentiment140
288,0,Sentiment140
289,1,Sentiment140
290,0,Sentiment140
291,0,Sentiment140
292,0,Sentiment140
293,0,Sentiment140
294,0,Sentiment140
295,1,Sentiment140
296,1,Sentiment140
297,1,Sentiment140
298,1,Sentiment140
299,0,Sentiment140
300,0,Sentiment140
301,0,Sentiment140
302,0,Sentiment140
303,0,Sentiment140
304,1,Sentiment140
305,1,Sentiment140
306,0,Sentiment140
307,0,Sentiment140
308,1,Sentiment140
309,0,Sentiment140
310,0,Sentiment140
311,0,Sentiment140
312,0,Sentiment140
313,0,Sentiment140
314,0,Sentiment140
315,0,Sentiment140
316,0,Sentiment140
317,0,Sentiment140
318,0,Sentiment140
319,0,Sentiment140
320,0,Sentiment140
321,0,Sentiment140
322,0,Sentiment140
323,0,Sentiment140
324,0,Sentiment140
325,0,Sentiment140
326,0,Sentiment140
327,1,Sentiment140
328,0,Sentiment140
329,0,Sentiment140
330,1,Sentiment140
331,0,Sentiment140
332,0,Sentiment140
333,0,Sentiment140
334,0,Sentiment140
335,0,Sentiment140
336,1,Sentiment140
337,0,Sentiment140
338,0,Sentiment140
339,0,Sentiment140
340,1,Sentiment140
341,0,Sentiment140
342,0,Sentiment140
343,0,Sentiment140
344,0,Sentiment140
345,0,Sentiment140
346,1,Sentiment140
347,0,Sentiment140
348,0,Sentiment140
349,0,Sentiment140
350,0,Sentiment140
351,0,Sentiment140
352,0,Sentiment140
353,0,Sentiment140
354,0,Sentiment140
355,0,Sentiment140
356,0,Sentiment140
357,0,Sentiment140
358,1,Sentiment140
359,1,Sentiment140
360,1,Sentiment140
361,0,Sentiment140
362,0,Sentiment140
363,0,Sentiment140
364,0,Sentiment140
365,0,Sentiment140
366,0,Sentiment140
367,0,Sentiment140
368,0,Sentiment140
369,0,Sentiment140
370,0,Sentiment140
371,0,Sentiment140
372,1,Sentiment140
373,0,Sentiment140
374,0,Sentiment140
375,0,Sentiment140
376,1,Sentiment140
377,0,Sentiment140
378,0,Sentiment140
379,1,Sentiment140
380,1,Sentiment140
381,1,Sentiment140
382,1,Sentiment140
383,0,Sentiment140
384,1,Sentiment140
385,0,Sentiment140
386,1,Sentiment140
387,1,Sentiment140
388,1,Sentiment140
389,1,Sentiment140
390,1,Sentiment140
391,0,Sentiment140
392,0,Sentiment140
393,0,Sentiment140
394,1,Sentiment140
395,0,Sentiment140
396,1,Sentiment140
397,0,Sentiment140
398,1,Sentiment140
399,1,Sentiment140
400,0,Sentiment140
401,0,Sentiment140
402,1,Sentiment140
403,0,Sentiment140
404,1,Sentiment140
405,0,Sentiment140
406,0,Sentiment140
407,0,Sentiment140
408,1,Sentiment140
409,0,Sentiment140
410,1,Sentiment140
411,0,Sentiment140
412,1,Sentiment140
413,0,Sentiment140
414,1,Sentiment140
415,0,Sentiment140
416,0,Sentiment140
417,1,Sentiment140
418,0,Sentiment140
419,0,Sentiment140
420,1,Sentiment140
421,1,Sentiment140
422,0,Sentiment140
423,0,Sentiment140
424,0,Sentiment140
425,0,Sentiment140
426,0,Sentiment140
427,1,Sentiment140
428,1,Sentiment140
429,0,Sentiment140
430,1,Sentiment140
431,1,Sentiment140
432,1,Sentiment140
433,0,Sentiment140
434,0,Sentiment140
435,0,Sentiment140
436,0,Sentiment140
437,0,Sentiment140
438,0,Sentiment140
439,0,Sentiment140
440,0,Sentiment140
441,0,Sentiment140
442,0,Sentiment140
443,1,Sentiment140
444,0,Sentiment140
445,0,Sentiment140
446,1,Sentiment140
447,0,Sentiment140
448,0,Sentiment140
449,1,Sentiment140
450,0,Sentiment140
451,0,Sentiment140
452,1,Sentiment140
453,0,Sentiment140
454,0,Sentiment140
455,0,Sentiment140
456,0,Sentiment140
457,0,Sentiment140
458,0,Sentiment140
459,0,Sentiment140
460,0,Sentiment140
461,1,Sentiment140
462,1,Sentiment140
463,0,Sentiment140
464,0,Sentiment140
465,0,Sentiment140
466,0,Sentiment140
467,1,Sentiment140
468,1,Sentiment140
469,0,Sentiment140
470,0,Sentiment140
471,0,Sentiment140
472,0,Sentiment140
473,0,Sentiment140
474,0,Sentiment140
475,0,Sentiment140
476,1,Sentiment140
477,0,Sentiment140
478,0,Sentiment140
479,0,Sentiment140
480,0,Sentiment140
481,1,Sentiment140
482,1,Sentiment140
483,1,Sentiment140
484,1,Sentiment140
485,0,Sentiment140
486,0,Sentiment140
487,1,Sentiment140
488,0,Sentiment140
489,0,Sentiment140
490,0,Sentiment140
491,1,Sentiment140
492,0,Sentiment140
493,0,Sentiment140
494,0,Sentiment140
495,1,Sentiment140
496,0,Sentiment140
497,0,Sentiment140
498,1,Sentiment140
499,0,Sentiment140
500,0,Sentiment140
501,0,Sentiment140
502,0,Sentiment140
503,0,Sentiment140
504,0,Sentiment140
505,0,Sentiment140
506,0,Sentiment140
507,0,Sentiment140
508,0,Sentiment140
509,0,Sentiment140
510,0,Sentiment140
511,0,Sentiment140
512,1,Sentiment140
513,0,Sentiment140
514,0,Sentiment140
515,0,Sentiment140
516,1,Sentiment140
517,1,Sentiment140
518,1,Sentiment140
519,0,Sentiment140
520,0,Sentiment140
521,0,Sentiment140
522,0,Sentiment140
523,0,Sentiment140
524,0,Sentiment140
525,1,Sentiment140
526,0,Sentiment140
527,1,Sentiment140
528,0,Sentiment140
529,1,Sentiment140
530,0,Sentiment140
531,0,Sentiment140
532,0,Sentiment140
533,1,Sentiment140
534,0,Sentiment140
535,0,Sentiment140
536,0,Sentiment140
537,0,Sentiment140
538,0,Sentiment140
539,1,Sentiment140
540,0,Sentiment140
541,0,Sentiment140
542,0,Sentiment140
543,0,Sentiment140
544,0,Sentiment140
545,0,Sentiment140
546,0,Sentiment140
547,1,Sentiment140
548,0,Sentiment140
549,0,Sentiment140
550,1,Sentiment140
551,0,Sentiment140
552,0,Sentiment140
553,1,Sentiment140
554,0,Sentiment140
555,0,Sentiment140
556,1,Sentiment140
557,0,Sentiment140
558,0,Sentiment140
559,0,Sentiment140
560,0,Sentiment140
561,0,Sentiment140
562,0,Sentiment140
563,0,Sentiment140
564,0,Sentiment140
565,0,Sentiment140
566,1,Sentiment140
567,1,Sentiment140
568,0,Sentiment140
569,1,Sentiment140
570,0,Sentiment140
571,1,Sentiment140
572,0,Sentiment140
573,0,Sentiment140
574,1,Sentiment140
575,1,Sentiment140
576,1,Sentiment140
577,0,Sentiment140
578,1,Sentiment140
579,1,Sentiment140
580,0,Sentiment140
581,1,Sentiment140
582,0,Sentiment140
583,0,Sentiment140
584,0,Sentiment140
585,0,Sentiment140
586,0,Sentiment140
587,1,Sentiment140
588,0,Sentiment140
589,0,Sentiment140
590,1,Sentiment140
591,1,Sentiment140
592,1,Sentiment140
593,0,Sentiment140
594,0,Sentiment140
595,0,Sentiment140
596,0,Sentiment140
597,1,Sentiment140
598,0,Sentiment140
599,1,Sentiment140
600,1,Sentiment140
601,0,Sentiment140
602,0,Sentiment140
603,0,Sentiment140
604,0,Sentiment140
605,0,Sentiment140
606,0,Sentiment140
607,1,Sentiment140
608,1,Sentiment140
609,0,Sentiment140
610,0,Sentiment140
611,1,Sentiment140
612,0,Sentiment140
613,0,Sentiment140
614,0,Sentiment140
615,1,Sentiment140
616,0,Sentiment140
617,1,Sentiment140
618,1,Sentiment140
619,0,Sentiment140
620,0,Sentiment140
621,0,Sentiment140
622,0,Sentiment140
623,1,Sentiment140
624,0,Sentiment140
625,0,Sentiment140
626,0,Sentiment140
627,0,Sentiment140
628,1,Sentiment140
629,1,Sentiment140
630,0,Sentiment140
631,1,Sentiment140
632,0,Sentiment140
633,1,Sentiment140
634,1,Sentiment140
635,0,Sentiment140
636,1,Sentiment140
637,0,Sentiment140
638,1,Sentiment140
639,0,Sentiment140
640,0,Sentiment140
641,0,Sentiment140
642,0,Sentiment140
643,0,Sentiment140
644,1,Sentiment140
645,0,Sentiment140
646,0,Sentiment140
647,1,Sentiment140
648,1,Sentiment140
649,1,Sentiment140
650,1,Sentiment140
651,0,Sentiment140
652,1,Sentiment140
653,1,Sentiment140
654,0,Sentiment140
655,0,Sentiment140
656,0,Sentiment140
657,0,Sentiment140
658,1,Sentiment140
659,1,Sentiment140
660,1,Sentiment140
661,1,Sentiment140
662,1,Sentiment140
663,0,Sentiment140
664,0,Sentiment140
665,1,Sentiment140
666,0,Sentiment140
667,0,Sentiment140
668,0,Sentiment140
669,0,Sentiment140
670,0,Sentiment140
671,0,Sentiment140
672,0,Sentiment140
673,0,Sentiment140
674,1,Sentiment140
675,0,Sentiment140
676,1,Sentiment140
677,0,Sentiment140
678,1,Sentiment140
679,0,Sentiment140
680,0,Sentiment140
681,0,Sentiment140
682,0,Sentiment140
683,0,Sentiment140
684,0,Sentiment140
685,0,Sentiment140
686,0,Sentiment140
687,0,Sentiment140
688,0,Sentiment140
689,1,Sentiment140
690,0,Sentiment140
691,0,Sentiment140
692,0,Sentiment140
693,1,Sentiment140
694,0,Sentiment140
695,1,Sentiment140
696,1,Sentiment140
697,1,Sentiment140
698,0,Sentiment140
699,1,Sentiment140
700,1,Sentiment140
701,1,Sentiment140
702,0,Sentiment140
703,0,Sentiment140
704,1,Sentiment140
705,1,Sentiment140
706,1,Sentiment140
707,1,Sentiment140
708,1,Sentiment140
709,0,Sentiment140
710,1,Sentiment140
711,1,Sentiment140
712,0,Sentiment140
713,1,Sentiment140
714,0,Sentiment140
715,0,Sentiment140
716,0,Sentiment140
717,0,Sentiment140
718,0,Sentiment140
719,0,Sentiment140
720,0,Sentiment140
721,0,Sentiment140
722,0,Sentiment140
723,0,Sentiment140
724,0,Sentiment140
725,0,Sentiment140
726,0,Sentiment140
727,0,Sentiment140
728,1,Sentiment140
729,0,Sentiment140
730,0,Sentiment140
731,0,Sentiment140
732,0,Sentiment140
733,0,Sentiment140
734,1,Sentiment140
735,1,Sentiment140
736,0,Sentiment140
737,0,Sentiment140
738,0,Sentiment140
739,1,Sentiment140
740,1,Sentiment140
741,1,Sentiment140
742,1,Sentiment140
743,0,Sentiment140
744,0,Sentiment140
745,0,Sentiment140
746,0,Sentiment140
747,0,Sentiment140
748,1,Sentiment140
749,0,Sentiment140
750,1,Sentiment140
751,1,Sentiment140
752,1,Sentiment140
753,1,Sentiment140
754,0,Sentiment140
755,1,Sentiment140
756,1,Sentiment140
757,1,Sentiment140
758,0,Sentiment140
759,1,Sentiment140
760,0,Sentiment140
761,0,Sentiment140
762,1,Sentiment140
763,1,Sentiment140
764,0,Sentiment140
765,1,Sentiment140
766,0,Sentiment140
767,0,Sentiment140
768,1,Sentiment140
769,1,Sentiment140
770,1,Sentiment140
771,0,Sentiment140
772,0,Sentiment140
773,1,Sentiment140
774,0,Sentiment140
775,0,Sentiment140
776,1,Sentiment140
777,0,Sentiment140
778,0,Sentiment140
779,0,Sentiment140
780,0,Sentiment140
781,0,Sentiment140
782,0,Sentiment140
783,1,Sentiment140
784,0,Sentiment140
785,1,Sentiment140
786,1,Sentiment140
787,0,Sentiment140
788,1,Sentiment140
789,0,Sentiment140
790,1,Sentiment140
791,1,Sentiment140
792,0,Sentiment140
793,0,Sentiment140
794,1,Sentiment140
795,1,Sentiment140
796,1,Sentiment140
797,0,Sentiment140
798,0,Sentiment140
799,0,Sentiment140
800,0,Sentiment140
801,0,Sentiment140
802,0,Sentiment140
803,1,Sentiment140
804,0,Sentiment140
805,0,Sentiment140
806,0,Sentiment140
807,0,Sentiment140
808,0,Sentiment140
809,0,Sentiment140
810,0,Sentiment140
811,0,Sentiment140
812,0,Sentiment140
813,0,Sentiment140
814,1,Sentiment140
815,1,Sentiment140
816,0,Sentiment140
817,0,Sentiment140
818,1,Sentiment140
819,1,Sentiment140
820,1,Sentiment140
821,1,Sentiment140
822,1,Sentiment140
823,1,Sentiment140
824,0,Sentiment140
825,0,Sentiment140
826,0,Sentiment140
827,0,Sentiment140
828,1,Sentiment140
829,1,Sentiment140
830,0,Sentiment140
831,1,Sentiment140
832,1,Sentiment140
833,1,Sentiment140
834,0,Sentiment140
835,0,Sentiment140
836,0,Sentiment140
837,0,Sentiment140
838,0,Sentiment140
839,0,Sentiment140
840,0,Sentiment140
841,0,Sentiment140
842,0,Sentiment140
843,0,Sentiment140
844,0,Sentiment140
845,0,Sentiment140
846,0,Sentiment140
847,0,Sentiment140
848,0,Sentiment140
849,1,Sentiment140
850,0,Sentiment140
851,0,Sentiment140
852,0,Sentiment140
853,0,Sentiment140
854,0,Sentiment140
855,0,Sentiment140
856,0,Sentiment140
857,0,Sentiment140
858,1,Sentiment140
859,0,Sentiment140
860,0,Sentiment140
861,0,Sentiment140
862,1,Sentiment140
863,1,Sentiment140
864,0,Sentiment140
865,0,Sentiment140
866,0,Sentiment140
867,0,Sentiment140
868,1,Sentiment140
869,0,Sentiment140
870,0,Sentiment140
871,0,Sentiment140
872,0,Sentiment140
873,1,Sentiment140
874,0,Sentiment140
875,1,Sentiment140
876,0,Sentiment140
877,0,Sentiment140
878,1,Sentiment140
879,1,Sentiment140
880,0,Sentiment140
881,1,Sentiment140
882,1,Sentiment140
883,0,Sentiment140
884,0,Sentiment140
885,0,Sentiment140
886,1,Sentiment140
887,1,Sentiment140
888,1,Sentiment140
889,0,Sentiment140
890,0,Sentiment140
891,1,Sentiment140
892,1,Sentiment140
893,0,Sentiment140
894,0,Sentiment140
895,0,Sentiment140
896,0,Sentiment140
897,0,Sentiment140
898,0,Sentiment140
899,1,Sentiment140
900,0,Sentiment140
901,1,Sentiment140
902,1,Sentiment140
903,0,Sentiment140
904,1,Sentiment140
905,1,Sentiment140
906,1,Sentiment140
907,1,Sentiment140
908,0,Sentiment140
909,0,Sentiment140
910,0,Sentiment140
911,0,Sentiment140
912,0,Sentiment140
913,1,Sentiment140
914,0,Sentiment140
915,0,Sentiment140
916,0,Sentiment140
917,0,Sentiment140
918,0,Sentiment140
919,1,Sentiment140
920,0,Sentiment140
921,0,Sentiment140
922,0,Sentiment140
923,0,Sentiment140
924,0,Sentiment140
925,0,Sentiment140
926,1,Sentiment140
927,0,Sentiment140
928,0,Sentiment140
929,0,Sentiment140
930,0,Sentiment140
931,0,Sentiment140
932,1,Sentiment140
933,0,Sentiment140
934,0,Sentiment140
935,0,Sentiment140
936,1,Sentiment140
937,0,Sentiment140
938,0,Sentiment140
939,0,Sentiment140
940,0,Sentiment140
941,0,Sentiment140
942,0,Sentiment140
943,0,Sentiment140
944,0,Sentiment140
945,0,Sentiment140
946,0,Sentiment140
947,0,Sentiment140
948,1,Sentiment140
949,1,Sentiment140
950,0,Sentiment140
951,0,Sentiment140
952,0,Sentiment140
953,0,Sentiment140
954,1,Sentiment140
955,1,Sentiment140
956,1,Sentiment140
957,0,Sentiment140
958,1,Sentiment140
959,0,Sentiment140
960,0,Sentiment140
961,1,Sentiment140
962,0,Sentiment140
963,0,Sentiment140
964,0,Sentiment140
965,0,Sentiment140
966,0,Sentiment140
967,0,Sentiment140
968,0,Sentiment140
969,0,Sentiment140
970,1,Sentiment140
971,0,Sentiment140
972,0,Sentiment140
973,0,Sentiment140
974,0,Sentiment140
975,1,Sentiment140
976,0,Sentiment140
977,1,Sentiment140
978,0,Sentiment140
979,1,Sentiment140
980,0,Sentiment140
981,0,Sentiment140
982,0,Sentiment140
983,0,Sentiment140
984,1,Sentiment140
985,0,Sentiment140
986,0,Sentiment140
987,1,Sentiment140
988,0,Sentiment140
989,0,Sentiment140
990,0,Sentiment140
991,0,Sentiment140
992,1,Sentiment140
993,0,Sentiment140
994,0,Sentiment140
995,0,Sentiment140
996,0,Sentiment140
997,0,Sentiment140
998,0,Sentiment140
999,0,Sentiment140
1000,1,Sentiment140
1001,1,Sentiment140
1002,0,Sentiment140
1003,0,Sentiment140
1004,0,Sentiment140
1005,0,Sentiment140
1006,0,Sentiment140
1007,1,Sentiment140
1008,1,Sentiment140
1009,0,Sentiment140
1010,1,Sentiment140
1011,0,Sentiment140
1012,0,Sentiment140
1013,1,Sentiment140
1014,0,Sentiment140
1015,0,Sentiment140
1016,1,Sentiment140
1017,1,Sentiment140
1018,1,Sentiment140
1019,1,Sentiment140
1020,1,Sentiment140
1021,0,Sentiment140
1022,1,Sentiment140
1023,1,Sentiment140
1024,0,Sentiment140
1025,0,Sentiment140
1026,0,Sentiment140
1027,1,Sentiment140
1028,0,Sentiment140
1029,1,Sentiment140
1030,0,Sentiment140
1031,1,Sentiment140
1032,0,Sentiment140
1033,1,Sentiment140
1034,1,Sentiment140
1035,1,Sentiment140
1036,1,Sentiment140
1037,1,Sentiment140
1038,0,Sentiment140
1039,1,Sentiment140
1040,1,Sentiment140
1041,1,Sentiment140
1042,1,Sentiment140
1043,0,Sentiment140
1044,1,Sentiment140
1045,0,Sentiment140
1046,1,Sentiment140
1047,1,Sentiment140
1048,1,Sentiment140
1049,1,Sentiment140
1050,1,Sentiment140
1051,1,Sentiment140
1052,1,Sentiment140
1053,1,Sentiment140
1054,0,Sentiment140
1055,1,Sentiment140
1056,1,Sentiment140
1057,1,Sentiment140
1058,1,Sentiment140
1059,1,Sentiment140
1060,1,Sentiment140
1061,1,Sentiment140
1062,1,Sentiment140
1063,1,Sentiment140
1064,0,Sentiment140
1065,0,Sentiment140
1066,0,Sentiment140
1067,1,Sentiment140
1068,0,Sentiment140
1069,1,Sentiment140
1070,0,Sentiment140
1071,1,Sentiment140
1072,1,Sentiment140
1073,1,Sentiment140
1074,1,Sentiment140
1075,0,Sentiment140
1076,0,Sentiment140
1077,1,Sentiment140
1078,1,Sentiment140
1079,1,Sentiment140
1080,0,Sentiment140
1081,1,Sentiment140
1082,1,Sentiment140
1083,0,Sentiment140
1084,0,Sentiment140
1085,1,Sentiment140
1086,0,Sentiment140
1087,0,Sentiment140
1088,1,Sentiment140
1089,0,Sentiment140
1090,0,Sentiment140
1091,1,Sentiment140
1092,1,Sentiment140
1093,0,Sentiment140
1094,1,Sentiment140
1095,0,Sentiment140
1096,0,Sentiment140
1097,0,Sentiment140
1098,0,Sentiment140
1099,0,Sentiment140
1100,0,Sentiment140
1101,0,Sentiment140
1102,0,Sentiment140
1103,0,Sentiment140
1104,1,Sentiment140
1105,1,Sentiment140
1106,1,Sentiment140
1107,0,Sentiment140
1108,0,Sentiment140
1109,0,Sentiment140
1110,0,Sentiment140
1111,1,Sentiment140
1112,1,Sentiment140
1113,0,Sentiment140
1114,1,Sentiment140
1115,0,Sentiment140
1116,0,Sentiment140
1117,0,Sentiment140
1118,0,Sentiment140
1119,1,Sentiment140
1120,1,Sentiment140
1121,1,Sentiment140
1122,0,Sentiment140
1123,0,Sentiment140
1124,0,Sentiment140
1125,0,Sentiment140
1126,0,Sentiment140
1127,0,Sentiment140
1128,0,Sentiment140
1129,0,Sentiment140
1130,0,Sentiment140
1131,0,Sentiment140
1132,0,Sentiment140
1133,0,Sentiment140
1134,0,Sentiment140
1135,0,Sentiment140
1136,0,Sentiment140
1137,0,Sentiment140
1138,1,Sentiment140
1139,0,Sentiment140
1140,0,Sentiment140
1141,0,Sentiment140
1142,0,Sentiment140
1143,0,Sentiment140
1144,1,Sentiment140
1145,1,Sentiment140
1146,0,Sentiment140
1147,0,Sentiment140
1148,1,Sentiment140
1149,0,Sentiment140
1150,0,Sentiment140
1151,0,Sentiment140
1152,0,Sentiment140
1153,0,Sentiment140
1154,1,Sentiment140
1155,0,Sentiment140
1156,0,Sentiment140
1157,0,Sentiment140
1158,0,Sentiment140
1159,1,Sentiment140
1160,0,Sentiment140
1161,1,Sentiment140
1162,1,Sentiment140
1163,0,Sentiment140
1164,1,Sentiment140
1165,0,Sentiment140
1166,0,Sentiment140
1167,0,Sentiment140
1168,0,Sentiment140
1169,0,Sentiment140
1170,1,Sentiment140
1171,0,Sentiment140
1172,0,Sentiment140
1173,1,Sentiment140
1174,0,Sentiment140
1175,0,Sentiment140
1176,0,Sentiment140
1177,1,Sentiment140
1178,1,Sentiment140
1179,0,Sentiment140
1180,1,Sentiment140
1181,0,Sentiment140
1182,0,Sentiment140
1183,0,Sentiment140
1184,0,Sentiment140
1185,1,Sentiment140
1186,0,Sentiment140
1187,1,Sentiment140
1188,1,Sentiment140
1189,1,Sentiment140
1190,0,Sentiment140
1191,0,Sentiment140
1192,1,Sentiment140
1193,0,Sentiment140
1194,1,Sentiment140
1195,1,Sentiment140
1196,0,Sentiment140
1197,1,Sentiment140
1198,1,Sentiment140
1199,1,Sentiment140
1200,1,Sentiment140
1201,1,Sentiment140
1202,0,Sentiment140
1203,0,Sentiment140
1204,1,Sentiment140
1205,0,Sentiment140
1206,1,Sentiment140
1207,0,Sentiment140
1208,0,Sentiment140
1209,0,Sentiment140
1210,0,Sentiment140
1211,1,Sentiment140
1212,1,Sentiment140
1213,0,Sentiment140
1214,0,Sentiment140
1215,0,Sentiment140
1216,1,Sentiment140
1217,0,Sentiment140
1218,1,Sentiment140
1219,0,Sentiment140
1220,0,Sentiment140
1221,0,Sentiment140
1222,0,Sentiment140
1223,0,Sentiment140
1224,0,Sentiment140
1225,1,Sentiment140
1226,1,Sentiment140
1227,1,Sentiment140
1228,0,Sentiment140
1229,1,Sentiment140
1230,1,Sentiment140
1231,0,Sentiment140
1232,0,Sentiment140
1233,0,Sentiment140
1234,0,Sentiment140
1235,1,Sentiment140
1236,0,Sentiment140
1237,1,Sentiment140
1238,1,Sentiment140
1239,1,Sentiment140
1240,0,Sentiment140
1241,1,Sentiment140
1242,1,Sentiment140
1243,0,Sentiment140
1244,1,Sentiment140
1245,0,Sentiment140
1246,0,Sentiment140
